fecha_hora,id_sesion,tipo_sesion,ear,mar,estado_cabeza,mirando_abajo,parpadeos_total,parpadeos_por_minuto,cabeceos_total,cabeza_abajo_sostenida,bostezos,microsuenos,perclos
2026-05-07 18:16:41.039,20260507_181554,normal,0.2968,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:41.569,20260507_181554,normal,0.3023,0.0175,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:42.097,20260507_181554,normal,0.2878,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:42.611,20260507_181554,normal,0.2802,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:43.139,20260507_181554,normal,0.2711,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:43.666,20260507_181554,normal,0.2851,0.0311,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:44.177,20260507_181554,normal,0.2883,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:44.702,20260507_181554,normal,0.2875,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:45.229,20260507_181554,normal,0.2747,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:45.740,20260507_181554,normal,0.2901,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:46.270,20260507_181554,normal,0.318,0.0185,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:46.798,20260507_181554,normal,0.3147,0.0175,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:47.342,20260507_181554,normal,0.2954,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:47.871,20260507_181554,normal,0.3162,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:48.412,20260507_181554,normal,0.3069,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:48.953,20260507_181554,normal,0.3174,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:49.494,20260507_181554,normal,0.3029,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:50.023,20260507_181554,normal,0.3099,0.1827,izquierda,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:50.567,20260507_181554,normal,0.3173,0.3362,izquierda,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:51.091,20260507_181554,normal,0.2401,0.0758,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:51.604,20260507_181554,normal,0.2681,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:52.131,20260507_181554,normal,0.2591,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:52.657,20260507_181554,normal,0.2641,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:53.170,20260507_181554,normal,0.2687,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:53.729,20260507_181554,normal,0.2725,0.0159,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:54.242,20260507_181554,normal,0.3024,0.0172,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:54.769,20260507_181554,normal,0.286,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:55.296,20260507_181554,normal,0.2967,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:55.806,20260507_181554,normal,0.2977,0.0172,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:56.346,20260507_181554,normal,0.2872,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:56.871,20260507_181554,normal,0.2931,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:57.373,20260507_181554,normal,0.2956,0.0189,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:57.902,20260507_181554,normal,0.3062,0.0204,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:58.410,20260507_181554,normal,0.3076,0.0204,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:58.970,20260507_181554,normal,0.2986,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:16:59.480,20260507_181554,normal,0.3048,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:17:00.008,20260507_181554,normal,0.3008,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:17:00.547,20260507_181554,normal,0.3116,0.0169,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:17:01.075,20260507_181554,normal,0.302,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:17:01.619,20260507_181554,normal,0.2729,0.0,frente,0,1,1,0,0,0,0,0.0
2026-05-07 18:17:02.148,20260507_181554,normal,0.2942,0.0169,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:02.688,20260507_181554,normal,0.3003,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:03.204,20260507_181554,normal,0.2963,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:03.719,20260507_181554,normal,0.292,0.0169,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:04.263,20260507_181554,normal,0.3113,0.0236,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:04.774,20260507_181554,normal,0.2978,0.0169,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:05.282,20260507_181554,normal,0.3006,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:05.828,20260507_181554,normal,0.3004,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:06.337,20260507_181554,normal,0.3104,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:06.845,20260507_181554,normal,0.2949,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:07.403,20260507_181554,normal,0.3025,0.0169,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:07.914,20260507_181554,normal,0.3122,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:08.425,20260507_181554,normal,0.3156,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:08.967,20260507_181554,normal,0.3107,0.0167,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:09.470,20260507_181554,normal,0.3093,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:09.992,20260507_181554,normal,0.3093,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:10.533,20260507_181554,normal,0.2952,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:11.062,20260507_181554,normal,0.2871,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:11.579,20260507_181554,normal,0.3066,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:12.107,20260507_181554,normal,0.2901,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:12.623,20260507_181554,normal,0.2768,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:13.136,20260507_181554,normal,0.2805,0.1875,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:13.661,20260507_181554,normal,0.2685,0.1451,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:14.189,20260507_181554,normal,0.2724,0.0164,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:14.701,20260507_181554,normal,0.2687,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:15.232,20260507_181554,normal,0.2617,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:15.760,20260507_181554,normal,0.265,0.1311,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:16.273,20260507_181554,normal,0.2628,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:16.803,20260507_181554,normal,0.2688,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:17.332,20260507_181554,normal,0.24,0.0,frente,0,1,0,0,0,0,0,0.0
2026-05-07 18:17:17.843,20260507_181554,normal,0.2667,0.0,frente,0,2,1,0,0,0,0,0.04
2026-05-07 18:17:18.371,20260507_181554,normal,0.2781,0.1052,frente,0,2,1,0,0,0,0,0.04
2026-05-07 18:17:18.897,20260507_181554,normal,0.2711,0.0,frente,0,2,1,0,0,0,0,0.04
2026-05-07 18:17:19.405,20260507_181554,normal,0.2737,0.0,frente,0,2,1,0,0,0,0,0.04
2026-05-07 18:17:19.931,20260507_181554,normal,0.2519,0.0167,frente,0,2,1,0,0,0,0,0.04
2026-05-07 18:17:20.442,20260507_181554,normal,0.2609,0.0,frente,0,2,1,0,0,0,0,0.04
2026-05-07 18:17:20.968,20260507_181554,normal,0.2672,0.0,frente,0,2,1,0,0,0,0,0.04
2026-05-07 18:17:21.480,20260507_181554,normal,0.2736,0.0,frente,0,2,1,0,0,0,0,0.04
2026-05-07 18:17:22.007,20260507_181554,normal,0.2689,0.0,frente,0,2,1,0,0,0,0,0.04
2026-05-07 18:17:22.530,20260507_181554,normal,0.2619,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:23.042,20260507_181554,normal,0.2767,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:23.567,20260507_181554,normal,0.2825,0.0,frente,0,2,1,0,0,0,0,0.0
